filename,url,success,processing_time,date,orbit,skipped
S1A_IW_GRDH_1SDV_20221122T154100_20221122T154125_046009_058198_A637.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20221122T154100_20221122T154125_046009_058198_A637.zip,True,0:01:02.875598,20221122,ASC,
S1A_IW_GRDH_1SDV_20221030T034431_20221030T034456_045666_057606_B646.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20221030T034431_20221030T034456_045666_057606_B646.zip,True,0,20221030,DESC,True
S1A_IW_GRDH_1SDV_20221029T154100_20221029T154125_045659_0575C5_E4FD.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20221029T154100_20221029T154125_045659_0575C5_E4FD.zip,True,0,20221029,ASC,True
S1A_IW_GRDH_1SDV_20221006T034431_20221006T034456_045316_056AE9_A40F.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20221006T034431_20221006T034456_045316_056AE9_A40F.zip,True,0,20221006,DESC,True
S1A_IW_GRDH_1SDV_20221005T154100_20221005T154125_045309_056AB6_0B79.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20221005T154100_20221005T154125_045309_056AB6_0B79.zip,True,0:01:01.267741,20221005,ASC,
S1A_IW_GRDH_1SDV_20240210T034432_20240210T034457_052491_065934_8949.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20240210T034432_20240210T034457_052491_065934_8949.zip,True,0,20240210,DESC,True
S1A_IW_GRDH_1SDV_20240209T154100_20240209T154125_052484_065900_04E0.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20240209T154100_20240209T154125_052484_065900_04E0.zip,True,0,20240209,ASC,True
S1A_IW_GRDH_1SDV_20240129T034433_20240129T034458_052316_065352_A749.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20240129T034433_20240129T034458_052316_065352_A749.zip,True,0,20240129,DESC,True
S1A_IW_GRDH_1SDV_20240128T154101_20240128T154126_052309_065317_39B3.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20240128T154101_20240128T154126_052309_065317_39B3.zip,True,0:01:04.032820,20240128,ASC,
S1A_IW_GRDH_1SDV_20240117T034433_20240117T034458_052141_064D68_024A.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20240117T034433_20240117T034458_052141_064D68_024A.zip,True,0,20240117,DESC,True
S1A_IW_GRDH_1SDV_20240116T154101_20240116T154126_052134_064D33_82DB.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20240116T154101_20240116T154126_052134_064D33_82DB.zip,True,0,20240116,ASC,True
S1A_IW_GRDH_1SDV_20240105T034434_20240105T034459_051966_06477A_DF01.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20240105T034434_20240105T034459_051966_06477A_DF01.zip,True,0,20240105,DESC,True
S1A_IW_GRDH_1SDV_20240104T154102_20240104T154127_051959_064733_EBDE.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20240104T154102_20240104T154127_051959_064733_EBDE.zip,True,0,20240104,ASC,True
S1A_IW_GRDH_1SDV_20231224T034434_20231224T034459_051791_06417B_1E02.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20231224T034434_20231224T034459_051791_06417B_1E02.zip,True,0,20231224,DESC,True
S1A_IW_GRDH_1SDV_20231223T154102_20231223T154127_051784_064135_B756.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20231223T154102_20231223T154127_051784_064135_B756.zip,False,0:00:08.348707,20231223,ASC,
S1A_IW_GRDH_1SDV_20231212T034435_20231212T034500_051616_063B73_1147.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20231212T034435_20231212T034500_051616_063B73_1147.zip,True,0:01:35.469454,20231212,DESC,
S1A_IW_GRDH_1SDV_20231211T154103_20231211T154128_051609_063B2B_0B95.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20231211T154103_20231211T154128_051609_063B2B_0B95.zip,True,0:01:36.998014,20231211,ASC,
S1A_IW_GRDH_1SDV_20231130T034435_20231130T034500_051441_063546_353B.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20231130T034435_20231130T034500_051441_063546_353B.zip,True,0:01:39.037512,20231130,DESC,
S1A_IW_GRDH_1SDV_20231129T154103_20231129T154128_051434_063514_98C9.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20231129T154103_20231129T154128_051434_063514_98C9.zip,True,0:01:42.734123,20231129,ASC,
S1A_IW_GRDH_1SDV_20231118T034436_20231118T034501_051266_062F4C_4F85.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20231118T034436_20231118T034501_051266_062F4C_4F85.zip,True,0:03:25.479387,20231118,DESC,
S1A_IW_GRDH_1SDV_20231117T154104_20231117T154129_051259_062F0A_0EBE.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20231117T154104_20231117T154129_051259_062F0A_0EBE.zip,True,0:01:56.087464,20231117,ASC,
S1A_IW_GRDH_1SDV_20231106T034436_20231106T034501_051091_06293D_439A.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20231106T034436_20231106T034501_051091_06293D_439A.zip,True,0:03:51.757564,20231106,DESC,
S1A_IW_GRDH_1SDV_20231105T154104_20231105T154129_051084_0628FB_34C7.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20231105T154104_20231105T154129_051084_0628FB_34C7.zip,False,0:02:08.411676,20231105,ASC,
